question,recall@1,recall@5,recall@10,top_chunk_files
ما هي القطاعات التي تشملها استخدامات الذكاء الاصطناعي؟,0,0,1,"['AIAdoptionFramework.pdf', 'AIAdoptionFramework.pdf', 'AIAdoptionFramework.pdf', 'File0001.pdf', 'AIAdoptionFramework.pdf']"
ما هو تعريف الأخلاقيات في سياق الذكاء الاصطناعي؟,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'File0002.pdf']"
ما هو تعريف نظام أو نموذج الذكاء الاصطناعي؟,0,1,1,"['AIAdoptionFramework.pdf', 'ai-principles.pdf', 'GenerativeAIPublicAR.pdf', 'File0002.pdf', 'ai-principles.pdf']"
من هو مطور نظام الذكاء الاصطناعي؟,0,1,1,"['File0002.pdf', 'ai-principles.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'File0002.pdf', 'File0002.pdf']"
ما هو تعريف البيانات الشخصية؟,0,1,1,"['DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf']"
ما هي أمثلة البيانات الشخصية؟,0,0,0,"['DataManagementPersonalDataProtectionStandardsAr.pdf', 'StandardContractualClausesForPersonalDataTransferAR.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'ECC-2-2024---NCA.pdf']"
ما هي البيانات الحساسة؟,0,1,1,"['ECC-2-2024---NCA.pdf', 'ai-principles.pdf', 'PersonalDataProtectionLawAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'PersonalDataProcessingActivitiesRecordsGuidelineAR.pdf']"
على من تطبق مبادئ أخلاقيات الذكاء الاصطناعي؟,0,0,0,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هي مستويات مخاطر أنظمة الذكاء الاصطناعي؟,0,0,0,"['ai-principles.pdf', 'File0002.pdf', 'File0002.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هي أنظمة الذكاء الاصطناعي ذات المخاطر غير المقبولة؟,1,1,1,"['ai-principles.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'ai-principles.pdf', 'File0002.pdf']"
ما هي مراحل دورة حياة نظام الذكاء الاصطناعي؟,0,0,0,"['ai-principles.pdf', 'AIAdoptionFramework.pdf', 'AIAdoptionFramework.pdf', 'File0002.pdf', 'File0002.pdf']"
ما هي أنشطة مرحلة التخطيط والتصميم في دورة حياة نظام الذكاء الاصطناعي؟,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'File0002.pdf', 'ai-principles.pdf', 'AIAdoptionFramework.pdf']"
ما هي أنشطة مرحلة تهيئة البيانات؟,0,0,0,"['ai-principles.pdf', 'ai-principles.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'RisksTransferringDataOutsideKingdomAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf']"
ما هو المبدأ الأول من مبادئ أخلاقيات الذكاء الاصطناعي؟,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما الذي يجب مراعاته عند استخدام البيانات الشخصية في أنظمة الذكاء الاصطناعي؟,0,0,0,"['ai-principles.pdf', 'GenerativeAIPublicAR.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو المبدأ الثاني من مبادئ أخلاقيات الذكاء الاصطناعي؟,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو المبدأ الثالث من مبادئ أخلاقيات الذكاء الاصطناعي؟,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو المبدأ الرابع من مبادئ أخلاقيات الذكاء الاصطناعي؟,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو المبدأ الخامس من مبادئ أخلاقيات الذكاء الاصطناعي؟,0,0,0,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو تعريف المعالجة في نظام حماية البيانات الشخصية؟,1,1,1,"['PersonalDataProtectionLawAr.pdf', 'StandardContractualClausesForPersonalDataTransferAR.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'RulesforAppointingPersonalDataProtectionOfficer.pdf', 'ECC-2-2024---NCA.pdf']"
