question,ground_truth,recall_raw@1,recall_raw@5,recall_raw@10,recall_rerank@1,recall_rerank@5,recall_rerank@10,top_raw_files,top_rerank_files
ما هي القطاعات التي تشملها استخدامات الذكاء الاصطناعي؟,تشمل استخدامات الذكاء الاصطناعي عديدًا من القطاعات، مثل: الصحة والتعليم والترفيه وغيرها.,0,0,1,1,1,1,"['AIAdoptionFramework.pdf', 'File0002.pdf', 'GenerativeAIPublicAR.pdf', 'ai-principles.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'GenerativeAIPublicAR.pdf', 'File0002.pdf', 'GenerativeAIPublicAR.pdf', 'AIAdoptionFramework.pdf']"
ما هو تعريف الأخلاقيات في سياق الذكاء الاصطناعي؟,الأخلاقيات هي مجموعة من القيم والمبادئ والأساليب لتوجيه السلوك الأخلاقي في تطوير تقنيات الذكاء الاصطناعي واستخدامها.,0,0,1,1,1,1,"['ai-principles.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'ai-principles.pdf', 'RisksTransferringDataOutsideKingdomAr.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'File0002.pdf']"
ما هو تعريف نظام أو نموذج الذكاء الاصطناعي؟,نظام أو نموذج الذكاء الاصطناعي هو مجموعة من النماذج التنبؤية والخوارزميات المتقدمة التي يمكن استخدامها لتحليل البيانات والتنبؤ بالمستقبل أو تسهيل عملية صنع القرار للأحداث المستقبلية المتوقعة.,0,1,1,1,1,1,"['ai-principles.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
من هو مطور نظام الذكاء الاصطناعي؟,مطور نظام الذكاء الاصطناعي هو أي شخص ذو صفة طبيعية أو اعتبارية يقوم بتطوير أنظمة الذكاء الاصطناعي.,0,0,1,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'AIAdoptionFramework.pdf', 'ai-principles.pdf', 'File0002.pdf']"
ما هو تعريف البيانات الشخصية؟,البيانات الشخصية هي كل بيان من شأنه أن يؤدي إلى معرفة الفرد على وجه التحديد، أو يجعل التعرف عليه ممكناً بصفة مباشرة أو غير مباشرة.,0,0,0,0,0,0,"['DataManagementPersonalDataProtectionStandardsAr.pdf', 'ai-principles.pdf', 'CCC-2-2024-.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf']","['DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'CCC-2-2024-.pdf']"
ما هي أمثلة البيانات الشخصية؟,من أمثلة البيانات الشخصية: الاسم، ورقم الهوية الشخصية، والعناوين، وأرقام التواصل، وأرقام الرخص والسجلات والممتلكات الشخصية، وأرقام الحسابات البنكية والبطاقات الائتمانية، وصور الفرد.,0,0,0,0,0,0,"['PersonalDataDestructionAnonymizationAndPseudonymisationGuidelineAR.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'MinmumPDGuidelineArabic.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'ai-principles.pdf']","['DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'RulesforAppointingPersonalDataProtectionOfficer.pdf', 'PersonalDataDestructionAnonymizationAndPseudonymisationGuidelineAR.pdf']"
ما هي البيانات الحساسة؟,البيانات الحساسة هي كل بيان شخصي يتضمن الإشارة إلى أصل الفرد العرقي، أو أصله الإثني، أو معتقده الديني، أو الفكري، أو السياسي، وكذلك البيانات الأمنية والجنائية، أو بيانات السمات الحيوية، أو البيانات الوراثية، أو البيانات الصحية.,0,0,0,0,0,0,"['DataManagementPersonalDataProtectionStandardsAr.pdf', 'ECC-2-2024---NCA.pdf', 'ai-principles.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DCC-.pdf']","['ECC-2-2024---NCA.pdf', 'ai-principles.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf', 'DataManagementPersonalDataProtectionStandardsAr.pdf']"
على من تطبق مبادئ أخلاقيات الذكاء الاصطناعي؟,تطبق المبادئ على جميع الجهات العامة والخاصة وغير الربحية والأفراد الذين يقومون بتطوير أو تبني الحلول المعتمدة على تقنيات الذكاء الاصطناعي.,0,0,1,0,0,0,"['ai-principles.pdf', 'ai-principles.pdf', 'File0001.pdf', 'ai-principles.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هي مستويات مخاطر أنظمة الذكاء الاصطناعي؟,تصنف مستويات المخاطر إلى: مخاطر بسيطة أو منعدمة، مخاطر محدودة، مخاطر عالية، ومخاطر غير مقبولة.,0,0,0,0,0,0,"['ai-principles.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'ai-principles.pdf', 'File0002.pdf', 'ai-principles.pdf']","['File0002.pdf', 'ai-principles.pdf', 'File0002.pdf', 'ai-principles.pdf', 'File0002.pdf']"
ما هي أنظمة الذكاء الاصطناعي ذات المخاطر غير المقبولة؟,هي أنظمة الذكاء الاصطناعي التي تشكل خطراً غير مقبول على سلامة الناس وسبل عيشهم وحقوقهم كتلك المتعلقة بالتصنيف الاجتماعي أو استغلال الأطفال أو تشويه السلوك.,1,1,1,1,1,1,"['ai-principles.pdf', 'ECC-2-2024---NCA.pdf', 'ai-principles.pdf', 'CCC-2-2024-.pdf', 'File0002.pdf']","['ai-principles.pdf', 'GenAIGuidelinesForGovernmentARCompressed.pdf', 'File0002.pdf', 'GenerativeAIPublicAR.pdf', 'GenerativeAIPublicAR.pdf']"
